Number of roofs
46
Roofs properties
RF1 1 1.5 30.0 0.018 1 J56 100.0 0.0 0.0
RF2 2 1.5 30.0 0.018 1 J32 100.0 0.0 0.0
RF3 3 1.5 30.0 0.018 1 J40 100.0 0.0 0.0
RF4 4 1.5 30.0 0.018 1 J56 100.0 0.0 0.0
RF5 5 1.5 30.0 0.018 1 J56 100.0 0.0 0.0
RF6 6 1.5 30.0 0.018 1 J56 100.0 0.0 0.0
RF7 7 1.5 30.0 0.018 1 J39 100.0 0.0 0.0
RF8 8 1.5 30.0 0.018 1 J52 100.0 0.0 0.0
RF9 9 1.5 30.0 0.018 1 J37 100.0 0.0 0.0
RF10 10 1.5 30.0 0.018 1 J17 100.0 0.0 0.0
RF11 11 1.5 30.0 0.018 1 J11 100.0 0.0 0.0
RF12 12 1.5 30.0 0.018 1 J14 100.0 0.0 0.0
RF13 13 1.5 30.0 0.018 1 J56 100.0 0.0 0.0
RF14 14 1.5 30.0 0.018 1 J40 100.0 0.0 0.0
RF15 15 1.5 30.0 0.018 1 J60 100.0 0.0 0.0
RF16 16 1.5 30.0 0.018 1 J33 100.0 0.0 0.0
RF17 17 1.5 30.0 0.018 1 J48 100.0 0.0 0.0
RF18 18 1.5 30.0 0.018 1 J12 100.0 0.0 0.0
RF19 19 1.5 30.0 0.018 1 J47 100.0 0.0 0.0
RF20 20 1.5 30.0 0.018 1 J49 100.0 0.0 0.0
RF21 21 1.5 30.0 0.018 1 J34 100.0 0.0 0.0
RF22 22 1.5 30.0 0.018 1 J36 100.0 0.0 0.0
RF23 23 1.5 30.0 0.018 1 J20 100.0 0.0 0.0
RF24 24 1.5 30.0 0.018 1 J22 100.0 0.0 0.0
RF25 25 1.5 30.0 0.018 1 J6 100.0 0.0 0.0
RF26 26 1.5 30.0 0.018 1 J26 100.0 0.0 0.0
RF27 27 1.5 30.0 0.018 1 J7 100.0 0.0 0.0
RF28 28 1.5 30.0 0.018 1 J58 100.0 0.0 0.0
RF29 29 1.5 30.0 0.018 1 J8 100.0 0.0 0.0
RF30 30 1.5 30.0 0.018 1 J49 100.0 0.0 0.0
RF31 31 1.5 30.0 0.018 1 J13 100.0 0.0 0.0
RF32 32 1.5 30.0 0.018 1 J37 100.0 0.0 0.0
RF33 33 1.5 30.0 0.018 1 J15 100.0 0.0 0.0
RF34 34 1.5 30.0 0.018 1 J15 100.0 0.0 0.0
RF35 35 1.5 30.0 0.018 1 J12 100.0 0.0 0.0
RF36 36 1.5 30.0 0.018 1 J8 100.0 0.0 0.0
RF37 37 1.5 30.0 0.018 1 J50 100.0 0.0 0.0
RF38 38 1.5 30.0 0.018 1 J60 100.0 0.0 0.0
RF39 39 1.5 30.0 0.018 1 J14 100.0 0.0 0.0
RF40 40 1.5 30.0 0.018 1 J17 100.0 0.0 0.0
