time(s);Qout(m3/s);Qin(m3/s)
 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.3005000000E+003; 0.0000000000E+000; 0.0000000000E+000
 0.6002447214E+003; 0.0000000000E+000; 0.0000000000E+000
 0.9005000000E+003; 0.0000000000E+000; 0.0000000000E+000
 0.1200500000E+004; 0.0000000000E+000; 0.0000000000E+000
 0.1500500000E+004; 0.0000000000E+000; 0.0000000000E+000
 0.1800062178E+004; 0.0000000000E+000; 0.0000000000E+000
 0.2100500000E+004; 0.0000000000E+000; 0.0000000000E+000
 0.2400500000E+004; 0.0000000000E+000; 0.0000000000E+000
 0.2700480628E+004; 0.0000000000E+000; 0.0000000000E+000
 0.3000371036E+004; 0.0000000000E+000; 0.0000000000E+000
 0.3300342531E+004; 0.0000000000E+000; 0.0000000000E+000
 0.3600246540E+004; 0.0000000000E+000; 0.0000000000E+000
 0.3900144713E+004; 0.0000000000E+000; 0.0000000000E+000
 0.4200177411E+004; 0.0000000000E+000; 0.0000000000E+000
 0.4500208949E+004; 0.0000000000E+000; 0.0000000000E+000
 0.4800167998E+004; 0.0000000000E+000; 0.0000000000E+000
 0.5100153727E+004; 0.0000000000E+000; 0.0000000000E+000
 0.5400076245E+004; 0.0000000000E+000; 0.0000000000E+000
 0.5700073788E+004; 0.0000000000E+000; 0.0000000000E+000
 0.6000107749E+004; 0.0000000000E+000; 0.0000000000E+000
 0.6300119730E+004; 0.0000000000E+000; 0.0000000000E+000
 0.6600112635E+004; 0.0000000000E+000; 0.0000000000E+000
 0.6900099265E+004; 0.0000000000E+000; 0.0000000000E+000
 0.7200014673E+004; 0.0000000000E+000; 0.0000000000E+000
 0.7500045141E+004; 0.0000000000E+000; 0.0000000000E+000
 0.7800046392E+004; 0.0000000000E+000; 0.0000000000E+000
 0.8100434154E+004; 0.0000000000E+000; 0.0000000000E+000
 0.8400081323E+004; 0.0000000000E+000; 0.0000000000E+000
 0.8700034959E+004; 0.0000000000E+000; 0.0000000000E+000
 0.9000503802E+004; 0.0000000000E+000; 0.0000000000E+000
