Number of roofs
46
Roofs properties
1002 2 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1005 5 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1011 11 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1012 12 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1013 13 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1014 14 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1015 15 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1016 16 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1017 17 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1018 18 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1019 19 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1020 20 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1021 21 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1022 22 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1023 23 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1024 24 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1025 25 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1026 26 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1027 27 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1028 28 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1029 29 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1030 30 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1031 31 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1032 32 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1035 35 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1036 36 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1038 38 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1039 39 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1040 40 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1041 41 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1042 42 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1043 43 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1044 44 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1045 45 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1046 46 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1047 47 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1048 48 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1050 50 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1052 52 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1054 54 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1055 55 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
1056 56 1.5 30.0 0.018 -9999 -9999 100.0 -9999 -9999
